"ISO2","year","sur_temp_change"
"AF",1961,-0.113
"AF",1962,-0.164
"AF",1963,0.847
"AF",1964,-0.764
"AF",1965,-0.244
"AF",1966,0.226
"AF",1967,-0.371
"AF",1968,-0.423
"AF",1969,-0.539
"AF",1970,0.813
"AF",1971,0.619
"AF",1972,-1.124
"AF",1973,0.232
"AF",1974,-0.489
"AF",1975,-0.445
"AF",1976,-0.286
"AF",1977,0.513
"AF",1978,0.129
"AF",1979,0.361
"AF",1980,0.6
"AF",1981,0.483
"AF",1982,-0.346
"AF",1983,0.164
"AF",1984,0.145
"AF",1985,0.283
"AF",1986,-0.141
"AF",1987,0.391
"AF",1988,0.919
"AF",1989,-0.205
"AF",1990,0.73
"AF",1991,-0.168
"AF",1992,-0.294
"AF",1993,0.22
"AF",1994,0.43
"AF",1995,0.359
"AF",1996,-0.116
"AF",1997,0.471
"AF",1998,0.675
"AF",1999,1.198
"AF",2000,0.993
"AF",2001,1.311
"AF",2002,1.365
"AF",2003,0.587
"AF",2004,1.373
"AF",2005,0.401
"AF",2006,1.72
"AF",2007,0.675
"AF",2008,0.704
"AF",2009,0.895
"AF",2010,1.613
"AF",2011,1.397
"AF",2012,0.223
"AF",2013,1.281
"AF",2014,0.456
"AF",2015,1.093
"AF",2016,1.555
"AF",2017,1.54
"AF",2018,1.544
"AF",2019,0.91
"AF",2020,0.498
"AF",2021,1.327
"AF",2022,2.012
"AL",1961,0.627
"AL",1962,0.326
"AL",1963,0.075
"AL",1964,-0.166
"AL",1965,-0.388
"AL",1966,0.559
"AL",1967,-0.074
"AL",1968,0.081
"AL",1969,-0.013
"AL",1970,-0.106
"AL",1971,-0.195
"AL",1972,-0.069
"AL",1973,-0.288
"AL",1974,-0.139
"AL",1975,-0.211
"AL",1976,-0.683
"AL",1977,0.545
"AL",1978,-0.814
"AL",1979,0.203
"AL",1980,-0.414
"AL",1981,-0.351
"AL",1982,0.173
"AL",1983,-0.128
"AL",1984,-0.27
"AL",1985,-0.103
"AL",1986,0.569
"AL",1987,-0.106
"AL",1988,0.37
"AL",1989,-0.066
"AL",1990,0.795
"AL",1991,-0.269
"AL",1992,0.106
"AL",1993,0.076
"AL",1994,1.33
"AL",1995,-0.172
"AL",1996,-0.038
"AL",1997,0.075
"AL",1998,0.795
"AL",1999,0.67
"AL",2000,1.065
"AL",2001,1.532
"AL",2002,0.492
"AL",2003,0.97
"AL",2004,0.444
"AL",2005,0.189
"AL",2006,0.345
"AL",2007,1.316
"AL",2008,0.978
"AL",2009,0.91
"AL",2010,1.191
"AL",2011,1.055
"AL",2012,1.487
"AL",2013,1.333
"AL",2014,1.198
"AL",2015,1.569
"AL",2016,1.464
"AL",2017,1.121
"AL",2018,2.028
"AL",2019,1.675
"AL",2020,1.498
"AL",2021,1.536
"AL",2022,1.518
"DZ",1961,0.164
"DZ",1962,0.114
"DZ",1963,0.077
"DZ",1964,0.25
"DZ",1965,-0.1
"DZ",1966,0.433
"DZ",1967,-0.026
"DZ",1968,-0.067
"DZ",1969,0.291
"DZ",1970,0.116
"DZ",1971,-0.385
"DZ",1972,-0.348
"DZ",1973,-0.015
"DZ",1974,-0.503
"DZ",1975,-0.539
"DZ",1976,-0.782
"DZ",1977,0.504
"DZ",1978,0.012
"DZ",1979,0.654
"DZ",1980,0.232
"DZ",1981,0.215
"DZ",1982,0.399
"DZ",1983,0.56
"DZ",1984,-0.004
"DZ",1985,0.508
"DZ",1986,0.296
"DZ",1987,0.975
"DZ",1988,1.304
"DZ",1989,0.386
"DZ",1990,1.266
"DZ",1991,0.031
"DZ",1992,-0.312
"DZ",1993,0.552
"DZ",1994,0.732
"DZ",1995,0.595
"DZ",1996,0.846
"DZ",1997,1.059
"DZ",1998,1.109
"DZ",1999,1.476
"DZ",2000,0.82
"DZ",2001,1.856
"DZ",2002,1.258
"DZ",2003,1.585
"DZ",2004,0.988
"DZ",2005,1.264
"DZ",2006,1.395
"DZ",2007,1.22
"DZ",2008,1.185
"DZ",2009,0.945
"DZ",2010,2.265
"DZ",2011,1.398
"DZ",2012,1.147
"DZ",2013,1.192
"DZ",2014,1.69
"DZ",2015,1.121
"DZ",2016,1.757
"DZ",2017,1.512
"DZ",2018,1.21
"DZ",2019,1.115
"DZ",2020,1.926
"DZ",2021,2.33
"DZ",2022,1.688
"AS",1961,0.079
"AS",1962,-0.042
"AS",1963,0.169
"AS",1964,-0.14
"AS",1965,-0.562
"AS",1966,0.181
"AS",1967,-0.368
"AS",1968,-0.187
"AS",1969,0.132
"AS",1970,-0.047
"AS",1971,-0.477
"AS",1972,-0.067
"AS",1973,0.33
"AS",1974,-0.308
"AS",1975,-0.118
"AS",1976,-0.177
"AS",1977,0.156
"AS",1978,0.092
"AS",1979,0.341
"AS",1980,0.35
"AS",1981,0.179
"AS",1982,0.28
"AS",1983,0.313
"AS",1984,0.277
"AS",1985,0.256
"AS",1986,0.394
"AS",1987,0.354
"AS",1988,0.509
"AS",1989,0.143
"AS",1990,0.497
"AS",1991,0.641
"AS",1992,0.344
"AS",1993,-0.069
"AS",1994,0.189
"AS",1995,0.755
"AS",1996,0.784
"AS",1997,NA
"AS",1998,NA
"AS",1999,0.242
"AS",2000,0.626
"AS",2001,0.904
"AS",2002,1.152
"AS",2003,0.716
"AS",2004,0.191
"AS",2005,0.801
"AS",2006,0.403
"AS",2007,1.032
"AS",2008,0.67
"AS",2009,NA
"AS",2010,1.311
"AS",2011,0.854
"AS",2012,0.924
"AS",2013,1.257
"AS",2014,1.17
"AS",2015,1.009
"AS",2016,1.539
"AS",2017,1.435
"AS",2018,1.189
"AS",2019,1.539
"AS",2020,1.43
"AS",2021,1.268
"AS",2022,1.256
"AD",1961,0.736
"AD",1962,0.112
"AD",1963,-0.752
"AD",1964,0.308
"AD",1965,-0.49
"AD",1966,0.415
"AD",1967,0.637
"AD",1968,0.018
"AD",1969,-0.137
"AD",1970,0.121
"AD",1971,-0.326
"AD",1972,-0.499
"AD",1973,0.025
"AD",1974,-0.371
"AD",1975,0.246
"AD",1976,-0.045
"AD",1977,-0.093
"AD",1978,-0.163
"AD",1979,0.058
"AD",1980,-0.188
"AD",1981,0.178
"AD",1982,1.044
"AD",1983,0.859
"AD",1984,-0.157
"AD",1985,0.059
"AD",1986,0.387
"AD",1987,0.397
"AD",1988,0.883
"AD",1989,1.162
"AD",1990,1.736
"AD",1991,0.231
"AD",1992,0.386
"AD",1993,0.174
"AD",1994,1.508
"AD",1995,1.279
"AD",1996,0.57
"AD",1997,1.788
"AD",1998,1.018
"AD",1999,1.055
"AD",2000,1.05
"AD",2001,1.48
"AD",2002,0.835
"AD",2003,1.949
"AD",2004,0.936
"AD",2005,0.851
"AD",2006,1.485
"AD",2007,1.024
"AD",2008,0.946
"AD",2009,1.413
"AD",2010,0.471
"AD",2011,1.677
"AD",2012,1.265
"AD",2013,0.831
"AD",2014,1.946
"AD",2015,1.69
"AD",2016,1.99
"AD",2017,1.925
"AD",2018,1.919
"AD",2019,1.964
"AD",2020,2.562
"AD",2021,1.533
"AD",2022,3.243
"AO",1961,0.041
"AO",1962,-0.152
"AO",1963,-0.19
"AO",1964,-0.229
"AO",1965,-0.196
"AO",1966,0.175
"AO",1967,-0.081
"AO",1968,-0.193
"AO",1969,0.188
"AO",1970,0.248
"AO",1971,-0.097
"AO",1972,-0.035
"AO",1973,0.475
"AO",1974,-0.158
"AO",1975,-0.029
"AO",1976,-0.313
"AO",1977,0.272
"AO",1978,0.037
"AO",1979,0.291
"AO",1980,0.279
"AO",1981,-0.071
