,ISO,sur_temp_change,color
0,AD,0.7928064516129032,#fee0d2
1,AE,0.42588709677419356,#fee0d2
2,AF,0.48466129032258065,#ca181d
3,AG,0.3962295081967213,
4,AI,0.4042096774193548,
5,AL,0.47138709677419355,#fc9272
6,AM,1.0975161290322581,
7,AO,0.48150000000000004,
8,AR,0.3297258064516129,
9,AS,0.4762881355932203,#ca181d
10,AT,0.8093709677419354,#ee3a2c
11,AU,0.4864838709677419,
12,AW,0.40160869565217394,#fc9272
13,AZ,1.1226451612903225,
14,BA,1.210483870967742,
15,BB,0.28376363636363633,
16,BD,0.23262903225806453,#fb694a
17,BE,1.5263478260869565,#fcbba1
18,BF,0.5450322580645162,#fc9272
19,BG,0.5286290322580645,#fb694a
20,BH,0.7375645161290323,#fb694a
21,BI,0.2613448275862069,
22,BJ,0.5055967741935484,#fcbba1
23,BN,0.5069193548387096,#fcbba1
24,BO,0.46338709677419354,#fc9272
25,BR,0.5437096774193548,#fee0d2
26,BS,0.4282903225806452,#fc9272
27,BT,0.38769354838709674,#ca181d
28,BW,0.22012903225806452,
29,BY,1.5117096774193548,#ee3a2c
30,BZ,0.48627419354838713,#fee0d2
31,CA,0.6500806451612903,
32,CD,0.4907258064516129,#fc9272
33,CF,0.4513870967741936,#fb694a
34,CG,0.4083770491803279,#fc9272
35,CH,0.7860645161290322,#fee0d2
36,CK,0.13943548387096774,#fb694a
37,CL,0.2651290322580645,#ee3a2c
38,CM,0.43679032258064515,#a30f15
39,CN,0.5860967741935484,#ca181d
40,CO,0.3842258064516129,#a30f15
41,CR,0.40519999999999995,#a30f15
42,CU,0.6002741935483871,#fb694a
43,CV,0.816140350877193,#a30f15
44,CY,0.4244193548387097,#fb694a
45,CZ,1.4057,#a30f15
46,DE,0.767483870967742,#ee3a2c
47,DJ,0.5504426229508197,#ee3a2c
48,DK,0.7248548387096775,#ca181d
49,DM,0.3837096774193548,#a30f15
50,DO,0.5660322580645162,#a30f15
